order_sk,account_sk,dwh_message_timestamp,root_order_id,rio_msg_source,ref_msg_type,order_version,order_id,cl_ord_id,exec_id,ticker_symbol,side,src_system_ID,transaction_time,dwh_update_date,dwh_business_date,trade_date,region_cd,product_code,
21149145765,5634374237,2020-07-01-01.56.00.000,2020070FQ4M201,AP.PTE.TRADE,A,2,94000070420QW,202324SSTEF0600,51070426,748729_AP,2,1,2020-07-01-11.51.00.000,2020-07-01-12.36.00.000,20200701,20200701,APAC,PR12123534201
21149145766,5634374238,2020-07-01-01.56.00.000,2020070FQ4M202,SI.PTE.TRADE,B,1,94000170421ER,202324SSTEF0600,51070427,748731_SI,2,2,2020-07-01-11.51.00.000,2020-07-01-12.36.00.000,20200701,20200701,APAC,PR12123534202
21149145767,5634374239,2020-07-01-01.56.00.000,2020070FQ4M203,JP.PTE.TRADE,C,3,94000270422TY,202324SSTEF0600,51070428,748733_JP,2,3,2020-07-01-11.51.00.000,2020-07-01-12.36.00.000,20200701,20200701,APAC,PR12123534203
21149145768,5634374240,2020-07-01-01.56.00.000,2020070FQ4M204,IN.PTE.TRADE,D,2,94000370423UI,202324SSTEF0600,51070429,748734_IN,2,4,2020-07-01-11.51.00.000,2020-07-01-12.36.00.000,20200701,20200701,APAC,PR12123534204
21149145769,5634374241,2020-07-01-01.56.00.000,2020070FQ4M205,SL.PTE.TRADE,E,1,94000470424OP,202324SSTEF0600,51070430,748735_SL,2,5,2020-07-01-11.51.00.000,2020-07-01-12.36.00.000,20200701,20200701,APAC,PR12123534205
21149145770,5634374242,2020-07-01-01.56.00.000,2020070FQ4M206,UK.PTE.TRADE,F,3,94000570425KL,202324SSTEF0600,51070431,748736_UK,2,6,2020-07-01-11.51.00.000,2020-07-01-12.36.00.000,20200701,20200701,EMEA,PR12123534206
21149145771,5634374243,2020-07-01-01.56.00.000,2020070FQ4M207,IR.PTE.TRADE,G,2,94000670426HJ,202324SSTEF0600,51070432,748737_IR,2,7,2020-07-01-11.51.00.000,2020-07-01-12.36.00.000,20200701,20200701,EMEA,PR12123534207
21149145772,5634374244,2020-07-01-01.56.00.000,2020070FQ4M208,SP.PTE.TRADE,H,1,94000770427FG,202324SSTEF0600,51070433,748738_SP,2,8,2020-07-01-11.51.00.000,2020-07-01-12.36.00.000,20200701,20200701,EMEA,PR12123534208
21149145773,5634374245,2020-07-01-01.56.00.000,2020070FQ4M209,IT.PTE.TRADE,I,3,94000870428SD,202324SSTEF0600,51070434,748739_IT,2,9,2020-07-01-11.51.00.000,2020-07-01-12.36.00.000,20200701,20200701,EMEA,PR12123534209
21149145774,5634374246,2020-07-01-01.56.00.000,2020070FQ4M210,EN.PTE.TRADE,J,2,94000970429AZ,202324SSTEF0600,51070435,748740_EN,2,10,2020-07-01-11.51.00.000,2020-07-01-12.36.00.000,20200701,20200701,EMEA,PR1212353421
21149145775,5634374247,2020-07-01-01.56.00.000,2020070FQ4M211,NY.PTE.TRADE,K,1,94001070430XC,202324SSTEF0600,51070436,748741_NY,2,11,2020-07-01-11.51.00.000,2020-07-01-12.36.00.000,20200701,20200701,NAM,PR12123534211
21149145776,5634374248,2020-07-01-01.56.00.000,2020070FQ4M212,NJ.PTE.TRADE,L,3,94001170431VB,202324SSTEF0600,51070437,748742_NJ,2,12,2020-07-01-11.51.00.000,2020-07-01-12.36.00.000,20200701,20200701,NAM,PR12123534212
21149145777,5634374249,2020-07-01-01.56.00.000,2020070FQ4M213,TX.PTE.TRADE,M,2,94001270432NM,202324SSTEF0600,51070438,748743_TX,2,13,2020-07-01-11.51.00.000,2020-07-01-12.36.00.000,20200701,20200701,NAM,PR12123534213
